step,overall_subtask_rate_percent,overall_success_rate_percent,total_episodes,num_trials_per_task,Ideal_subtask_rate_percent,Memory_Execution_subtask_rate_percent,Memory_Exploration_subtask_rate_percent,Mix_subtask_rate_percent,Observation_Mismatching_subtask_rate_percent,Random_Disturbance_subtask_rate_percent,run_id,path
0,14.376164,14.666667,300,5,11.842105,16.923077,14.957983,14.791667,12.121212,13.947368,EVAL-robocerebra-pi05-2026_03_31-23_58_19,/Users/felixdoublet/Downloads/EVAL-robocerebra-pi05-2026_03_31-23_58_19_results.json
5000,18.621974,21.666667,60,1,15.789474,22.115385,18.487395,18.750000,15.151515,19.736842,EVAL-robocerebra-pi05-2026_04_12-15_19_03--pi05_ckpt_005000,/Users/felixdoublet/Downloads/EVAL-robocerebra-pi05-2026_04_12-15_19_03--pi05_ckpt_005000_results.json
10000,17.690875,18.333333,60,1,13.157895,25.000000,16.806723,18.750000,15.151515,14.473684,EVAL-robocerebra-pi05-2026_04_12-16_07_16--pi05_ckpt_010000,/Users/felixdoublet/Downloads/EVAL-robocerebra-pi05-2026_04_12-16_07_16--pi05_ckpt_010000_results.json
15000,16.201117,18.333333,60,1,11.842105,19.230769,16.806723,16.666667,15.151515,15.789474,EVAL-robocerebra-pi05-2026_04_12-16_53_17--pi05_ckpt_015000,/Users/felixdoublet/Downloads/EVAL-robocerebra-pi05-2026_04_12-16_53_17--pi05_ckpt_015000_results.json
25000,16.759777,20.000000,60,1,14.473684,23.076923,15.966387,15.625000,13.636364,15.789474,EVAL-robocerebra-pi05-2026_04_12-18_23_34--pi05_ckpt_025000,/Users/felixdoublet/Downloads/EVAL-robocerebra-pi05-2026_04_12-18_23_34--pi05_ckpt_025000_results.json
35000,19.553073,25.000000,60,1,17.105263,25.000000,21.008403,19.791667,13.636364,17.105263,EVAL-robocerebra-pi05-2026_04_12-19_56_32--pi05_ckpt_035000,/Users/felixdoublet/Downloads/EVAL-robocerebra-pi05-2026_04_12-19_56_32--pi05_ckpt_035000_results.json
40000,17.690875,23.333333,60,1,15.789474,21.153846,20.168067,15.625000,13.636364,17.105263,EVAL-robocerebra-pi05-2026_04_12-20_43_08--pi05_ckpt_040000,/Users/felixdoublet/Downloads/EVAL-robocerebra-pi05-2026_04_12-20_43_08--pi05_ckpt_040000_results.json
45000,17.690875,20.000000,60,1,15.789474,25.000000,16.806723,17.708333,13.636364,14.473684,EVAL-robocerebra-pi05-2026_04_12-21_28_35--pi05_ckpt_045000,/Users/felixdoublet/Downloads/EVAL-robocerebra-pi05-2026_04_12-21_28_35--pi05_ckpt_045000_results.json
50000,17.318436,25.000000,60,1,14.473684,22.115385,18.487395,17.708333,15.151515,13.157895,EVAL-robocerebra-pi05-2026_04_12-22_14_03--pi05_ckpt_050000,/Users/felixdoublet/Downloads/EVAL-robocerebra-pi05-2026_04_12-22_14_03--pi05_ckpt_050000_results.json
55000,17.690875,21.666667,60,1,17.105263,22.115385,17.647059,16.666667,15.151515,15.789474,EVAL-robocerebra-pi05-2026_04_12-22_59_24--pi05_ckpt_055000,/Users/felixdoublet/Downloads/EVAL-robocerebra-pi05-2026_04_12-22_59_24--pi05_ckpt_055000_results.json
65000,17.132216,23.333333,60,1,15.789474,18.269231,15.966387,17.708333,16.666667,18.421053,EVAL-robocerebra-pi05-2026_04_13-00_29_37--pi05_ckpt_065000,/Users/felixdoublet/Downloads/EVAL-robocerebra-pi05-2026_04_13-00_29_37--pi05_ckpt_065000_results.json
75000,18.435754,21.666667,60,1,14.473684,24.038462,19.327731,19.791667,16.666667,13.157895,EVAL-robocerebra-pi05-2026_04_13-01_59_42--pi05_ckpt_075000,/Users/felixdoublet/Downloads/EVAL-robocerebra-pi05-2026_04_13-01_59_42--pi05_ckpt_075000_results.json
85000,17.318436,21.666667,60,1,14.473684,21.153846,16.806723,19.791667,13.636364,15.789474,EVAL-robocerebra-pi05-2026_04_13-03_30_14--pi05_ckpt_085000,/Users/felixdoublet/Downloads/EVAL-robocerebra-pi05-2026_04_13-03_30_14--pi05_ckpt_085000_results.json
90000,18.063315,25.000000,60,1,17.105263,21.153846,19.327731,16.666667,15.151515,17.105263,EVAL-robocerebra-pi05-2026_04_13-04_15_05--pi05_ckpt_090000,/Users/felixdoublet/Downloads/EVAL-robocerebra-pi05-2026_04_13-04_15_05--pi05_ckpt_090000_results.json
95000,16.573557,21.666667,60,1,15.789474,20.192308,16.806723,14.583333,15.151515,15.789474,EVAL-robocerebra-pi05-2026_04_13-05_00_16--pi05_ckpt_095000,/Users/felixdoublet/Downloads/EVAL-robocerebra-pi05-2026_04_13-05_00_16--pi05_ckpt_095000_results.json
100000,17.877095,21.666667,60,1,15.789474,20.192308,17.647059,19.791667,15.151515,17.105263,EVAL-robocerebra-pi05-2026_04_13-05_45_17--pi05_ckpt_100000,/Users/felixdoublet/Downloads/EVAL-robocerebra-pi05-2026_04_13-05_45_17--pi05_ckpt_100000_results.json
